alignment_length	%ID
510 77.843
511 77.495
511 77.691
511 77.299
510 77.647
511 75.538
511 75.734
510 76.667
511 75.538
510 77.451
510 75.882
509 72.692
507 74.359
511 72.016
444 73.423
512 72.656
444 73.198
444 73.423
444 73.423
444 73.423
444 73.423
444 73.198
444 73.423
444 72.748
444 73.198
444 72.973
444 72.973
444 73.198
444 72.748
444 72.297
444 73.198
444 73.423
444 72.973
444 73.198
444 72.973
444 72.973
444 72.973
503 70.577
444 71.622
503 69.583
444 71.847
444 72.973
443 73.363
507 66.667
444 72.748
444 72.297
444 72.523
503 68.191
444 72.748
444 72.523
444 72.748
504 68.056
443 72.686
444 72.973
444 72.748
444 72.748
444 72.523
444 72.973
444 72.973
444 72.973
444 72.523
507 67.258
444 72.072
444 71.622
507 67.850
443 72.235
507 66.864
444 71.396
443 72.009
504 67.460
444 72.072
444 72.072
443 72.912
443 72.235
504 66.071
504 67.063
443 72.460
443 71.106
443 72.686
443 72.235
443 72.235
444 70.721
443 72.912
444 71.622
444 70.270
443 69.074
508 64.961
444 69.144
443 70.203
511 63.209
446 66.368
445 65.169
445 66.966
445 66.742
445 66.742
445 66.517
445 66.517
445 66.517
445 64.270
445 64.944
442 61.991
446 63.677
445 63.596
442 61.086
445 63.371
446 63.453
446 66.592
447 64.877
445 63.820
447 64.653
444 63.964
451 62.084
446 60.538
446 60.538
446 59.417
447 63.087
446 57.848
446 59.417
446 57.175
445 55.506
445 64.270
450 58.889
446 57.623
446 60.090
446 54.933
450 58.444
446 55.381
446 55.157
446 54.036
447 56.823
446 55.830
445 51.461
474 60.549
332 71.386
332 71.084
332 71.084
332 70.783
332 70.482
332 70.482
455 57.143
445 51.236
535 48.598
370 65.405
445 56.629
475 49.684
462 50.216
274 74.088
305 66.230
214 82.243
306 61.111
444 42.342
444 43.694
445 46.517
381 51.181
449 46.102
444 45.721
223 74.439
223 72.646
442 45.928
194 72.680
219 74.429
219 72.146
444 43.919
447 42.729
213 72.300
440 39.318
233 66.953
441 40.816
206 74.272
441 39.002
440 40.909
207 71.498
188 69.681
440 38.182
440 38.182
440 40.682
440 37.727
440 40.682
440 39.091
183 70.492
264 56.439
446 39.686
438 39.269
184 69.565
436 38.532
161 77.019
173 73.410
446 38.789
161 75.776
444 37.387
445 41.573
440 40.909
160 75.625
440 40.455
443 35.666
440 40.455
440 35.909
440 35.909
440 35.909
440 35.909
158 75.949
155 76.774
440 35.455
302 45.033
157 76.433
157 75.159
448 35.268
450 36.000
463 36.717
442 35.747
152 75.000
449 35.635
438 37.215
449 32.517
446 34.081
367 39.237
268 45.896
121 68.595
366 38.798
190 61.579
363 38.292
442 33.258
326 36.196
101 41.584
322 36.957
94 43.617
109 69.725
97 69.072
134 60.448
247 25.506
54 48.148
54 48.148
54 48.148
154 26.623
31 48.387
