query acc.ver	subject acc.ver	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score
NC_015119.1:1426-2962	P00400.2	77.843	510	113	0	4	1533	2	511	0.0	610
NC_015119.1:1426-2962	Q34388.3	77.495	511	115	0	1	1533	1	511	0.0	610
NC_015119.1:1426-2962	Q34391.2	77.691	511	114	0	1	1533	1	511	0.0	608
NC_015119.1:1426-2962	Q34345.3	77.299	511	116	0	1	1533	1	511	0.0	607
NC_015119.1:1426-2962	P00399.2	77.647	510	114	0	4	1533	2	511	0.0	604
NC_015119.1:1426-2962	P50669.2	75.538	511	125	0	4	1536	3	513	0.0	594
NC_015119.1:1426-2962	P67794.2	75.734	511	124	0	4	1536	3	513	0.0	593
NC_015119.1:1426-2962	P34838.1	76.667	510	119	0	4	1533	3	512	0.0	592
NC_015119.1:1426-2962	P50668.2	75.538	511	125	0	4	1536	3	513	0.0	590
NC_015119.1:1426-2962	B0FWC7.2	77.451	510	115	0	4	1533	3	512	0.0	588
NC_015119.1:1426-2962	P33504.1	75.882	510	123	0	4	1533	3	512	0.0	586
NC_015119.1:1426-2962	Q36421.2	72.692	509	139	0	4	1530	3	511	0.0	573
NC_015119.1:1426-2962	Q36724.1	74.359	507	130	0	10	1530	1	507	0.0	567
NC_015119.1:1426-2962	Q37705.1	72.016	511	143	0	4	1536	2	512	0.0	560
NC_015119.1:1426-2962	P05503.3	73.423	444	118	0	4	1335	4	447	0.0	530
NC_015119.1:1426-2962	Q9B840.1	72.656	512	139	1	4	1536	3	514	0.0	529
NC_015119.1:1426-2962	P00397.2	73.198	444	119	0	4	1335	4	447	0.0	528
NC_015119.1:1426-2962	Q6EGJ1.1	73.423	444	118	0	4	1335	4	447	0.0	528
NC_015119.1:1426-2962	Q6EGI0.1	73.423	444	118	0	4	1335	4	447	0.0	526
NC_015119.1:1426-2962	Q6EGI2.1	73.423	444	118	0	4	1335	4	447	0.0	526
NC_015119.1:1426-2962	Q6EGI3.1	73.423	444	118	0	4	1335	4	447	0.0	526
NC_015119.1:1426-2962	O79876.2	73.198	444	119	0	4	1335	4	447	0.0	526
NC_015119.1:1426-2962	Q6EGH8.1	73.423	444	118	0	4	1335	4	447	0.0	525
NC_015119.1:1426-2962	P00396.1	72.748	444	121	0	4	1335	4	447	0.0	525
NC_015119.1:1426-2962	Q36347.2	73.198	444	119	0	4	1335	4	447	0.0	524
NC_015119.1:1426-2962	O78749.1	72.973	444	120	0	4	1335	4	447	0.0	524
NC_015119.1:1426-2962	P48888.1	72.973	444	120	0	4	1335	4	447	0.0	523
NC_015119.1:1426-2962	Q6EGI5.1	73.198	444	119	0	4	1335	4	447	0.0	523
NC_015119.1:1426-2962	Q9ZZY9.1	72.748	444	121	0	4	1335	4	447	0.0	523
NC_015119.1:1426-2962	Q9TA27.1	72.297	444	123	0	4	1335	4	447	0.0	523
NC_015119.1:1426-2962	Q6EGI4.1	73.198	444	119	0	4	1335	4	447	0.0	523
NC_015119.1:1426-2962	Q6EGJ0.1	73.423	444	118	0	4	1335	4	447	0.0	523
